Timestamp	Species---SequenceName	Type of dormancy	Life stage	Organ/tissue/cell type that is/are used for analysis	Expression level 	Level of fold change (if applicable)	Methodology used for the expression analysis.	DOI	URL	SPECIAL NOTES (p.e. larvae were exposed to low/high temperatures during diapause; expression in comparison to winter or summer diapause etc.)	Who typed in the data	Gender	Who typed in the data
11/22/2015 16:20:13	Aedes albopictus---homolog of a putative cecropin anti-microbial peptide (CECB)	diapause	embryo/egg	whole body	up		RNA-Seq	doi:10.1242/jeb.089508	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3797908/	expression in comparison to quiescence	Iva		
11/22/2015 15:08:13	Aedes albopictus---homolog of glyceraldehyde 3 phosphate dehydrogenase	diapause	embryo/egg	whole body	up		RNA-Seq	doi:10.1242/jeb.089508	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3797908/	expression in comparison to quiescence	Iva		
11/22/2015 16:21:47	Aedes albopictus---homolog of gram-negative binding protein 3 (GNBPB3)	diapause	embryo/egg	whole body	up		RNA-Seq	doi:10.1242/jeb.089508	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3797908/	expression in comparison to quiescence	Iva		
11/22/2015 16:23:01	Aedes albopictus---homolog of gram-negative binding protein 4 (GNBPB4)	diapause	embryo/egg	whole body	up		RNA-Seq	doi:10.1242/jeb.089508	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3797908/	expression in comparison to quiescence	Iva		
11/22/2015 17:51:07	Aedes albopictus---inhibitor of growth protein, ing1	diapause	embryo/egg	whole body	stable	1.05	QRT-PCR	doi:10.1186/1471-2164-12-619	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258294/	expression in comparison to non-diapause-inducing (NDI) photoperiod	Iva		
11/11/2015 19:16:46	Aedes albopictus---Isovaleryl-CoA dehydrogenase	diapause	embryo/egg	whole body	down		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 6 d non-diapause embryos	Iva		
11/8/2015 17:29:06	Aedes albopictus---Lipase_AAEL001057	diapause	embryo/egg	whole body	down		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 6 d non-diapause embryos	Iva		
11/8/2015 17:47:21	Aedes albopictus---Lipase_AAEL007044	diapause	embryo/egg	whole body	down		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 6 d non-diapause embryos	Iva		
11/8/2015 17:48:51	Aedes albopictus---Lipase_AAEL012343	diapause	embryo/egg	whole body	down		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 6 d non-diapause embryos	Iva		
11/8/2015 17:00:14	Aedes albopictus---Lipid storage droplet protein	diapause	embryo/egg	whole body	up		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 3 d non-diapause embryos	Iva		
11/22/2015 13:56:57	Aedes albopictus---ortholog of juvenile hormone esterase (JHE)	diapause	embryo/egg	whole body	up		RNA-Seq	doi:10.1242/jeb.089508	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3797908/	expression in comparison to quiescence	Iva		
12/4/2015 13:16:18	Aedes albopictus---phosphatidylethanolamine-binding protein mRNA	diapause	embryo/egg	whole body	stable	0.88	QRT-PCR	doi:10.1186/1471-2164-12-619	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258294/	expression in comparison to non-diapause-inducing (NDI) photoperiod	Iva		
12/10/2015 14:07:42	Aedes albopictus---phosphatidylethanolamine-binding protein mRNA	diapause	embryo/egg	whole body	stable	-1.6 – 0.99	QRT-PCR	doi:10.1016/j.jinsphys.2010.03.008	http://www.sciencedirect.com/science/article/pii/S0022191010000740	comparison between SD and LD conditions in temperate (diapausing) populations; RNA isolated from mature (stage V) oocytes 	Iva		
12/10/2015 14:09:24	Aedes albopictus---phosphatidylethanolamine-binding protein mRNA	diapause	embryo/egg	whole body	stable	-4.23 – -10.75	QRT-PCR	doi:10.1016/j.jinsphys.2010.03.008	http://www.sciencedirect.com/science/article/pii/S0022191010000740	comparison between SD and LD conditions in tropical (non-diapausing) populations; RNA isolated from mature (stage V) oocytes 	Iva		
11/22/2015 15:05:02	Aedes albopictus---phosphoenolpyruvate carboxykinase	diapause	embryo/egg	whole body	up		RNA-Seq	doi:10.1242/jeb.089508	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3797908/	expression in comparison to quiescence	Iva		
11/22/2015 17:38:55	Aedes albopictus---phosphoenolpyruvate carboxykinase	diapause	embryo/egg	whole body	up	0.82	QRT-PCR	doi:10.1186/1471-2164-12-619	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258294/	expression in comparison to non-diapause-inducing (NDI) photoperiod	Iva		
11/22/2015 13:49:29	Aedes albopictus---putative JH-inducible protein	diapause	embryo/egg	whole body	down		RNA-Seq	doi:10.1242/jeb.089508	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3797908/	expression in comparison to quiescence	Iva		
11/22/2015 15:09:41	Aedes albopictus---pyruvate kinase	diapause	embryo/egg	whole body	up		RNA-Seq	doi:10.1242/jeb.089508	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3797908/	expression in comparison to quiescence	Iva		
12/10/2015 16:41:50	Aedes albopictus---questionable odorant-binding protein 99a	diapause	embryo/egg	whole body	up		QRT-PCR	doi:10.1016/j.jinsphys.2010.03.008	http://www.sciencedirect.com/science/article/pii/S0022191010000740	under SD photoperiods across both temperate and tropical populations; RNA isolated from mature (stage V) oocytes 	Iva		
12/4/2015 13:13:48	Aedes albopictus---receptor for activated C kinase, putative	diapause	embryo/egg	whole body	up	0.86	QRT-PCR	doi:10.1186/1471-2164-12-619	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3258294/	expression in comparison to non-diapause-inducing (NDI) photoperiod	Iva		
11/11/2015 19:25:58	Aedes albopictus---Δ(9) desaturase	diapause	embryo/egg	whole body	up		QRT-PCR	doi:10.1016/j.jinsphys.2012.04.013.	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3389261/	expression in comparison to 6 d non-diapause embryos	Iva		
7/8/2015 17:00:52	Agrius convolvuli---mitochondrial COX1 gene for cytochrome c oxidase subunit 1	diapause	pupae	brain	up		QRT-PCR	doi:10.1016/j.jinsphys.2003.09.011	http://www.ncbi.nlm.nih.gov/pubmed/15037091	Methodology used for expression analysis: Ready-To-Go RT-PCR Beads (they can be applied for determining relative levels of expression)	Dunja		
7/16/2015 20:02:24	Allonemobius socius---Aldo-keto reductase family member	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:47:38	Allonemobius socius---Arginine kinase	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:20:38	Allonemobius socius---ATP citrate lyase	diapause	embryo/egg	whole body	down		QRT-PCR	doi:10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:44:50	Allonemobius socius---Bax-inhibitor 1-like protein	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:18:21	Allonemobius socius---Cathepsin B-like protease	diapause	embryo/egg	whole body	down		QRT-PCR	doi:10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 20:07:53	Allonemobius socius---CHORD containing protein	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:46:25	Allonemobius socius---Cytochrome c oxidase subunit II	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:57:21	Allonemobius socius---Cytochrome c oxidase subunit IV	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 20:19:10	Allonemobius socius---Cytochrome c oxidase VIIc	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:28:00	Allonemobius socius---Cytochrome P450	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 20:11:04	Allonemobius socius---DNA dependent RNA polymerase III	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:13:10	Allonemobius socius---Endoplasmin (Hsp90 family member)	diapause	embryo/egg	whole body	down		QRT-PCR	doi:10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:37:36	Allonemobius socius---Eukaryotic translation initiation factor 4 gamma	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:25:16	Allonemobius socius---Fatty acid desaturase	diapause	embryo/egg	whole body	stable		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:56:20	Allonemobius socius---Glyoxalase CG1532-PA	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:15:32	Allonemobius socius---Heat shock 70 family member	diapause	embryo/egg	whole body	stable		QRT-PCR	doi:10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:11:09	Allonemobius socius---Heat shock protein 90	diapause	embryo/egg	whole body	down		QRT-PCR	doi:10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:30:25	Allonemobius socius---Histone2A	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 20:07:07	Allonemobius socius---Hsp 20.7	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367.	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:40:37	Allonemobius socius---Interferon developmental regulator	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 20:05:44	Allonemobius socius---Lipid storage protein CG32645-PB	diapause	embryo/egg	whole body	stable		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 20:14:09	Allonemobius socius---Male sterility protein (acyl-CoA reductase)	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 20:01:04	Allonemobius socius---Mitochondrial processing peptidase	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 20:21:04	Allonemobius socius---Mitochondrial ribosomal protein L45 (TIMM 44)	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 20:21:54	Allonemobius socius---Nedd8	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367.	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 20:17:53	Allonemobius socius---Neimann-Pick type C-like	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 20:13:03	Allonemobius socius---Pyrroline 5-carboyxlate reductase	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367.	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:32:56	Allonemobius socius---RACK1	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 20:16:28	Allonemobius socius---Ribosomal protein L35Ae	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 20:09:28	Allonemobius socius---RubV-like 2 (Reptin/TBP interacting protein)	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:42:28	Allonemobius socius---Spaghetti squash (myosin regulatory light chain)	diapause	embryo/egg	whole body	stable		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:54:52	Allonemobius socius---Transcription factor Dp2 (E2F dimerization partner)	diapause	embryo/egg	whole body	stable		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/16/2015 19:23:01	Allonemobius socius---Translation elongation factor 1 gamma	diapause	embryo/egg	whole body	down		QRT-PCR	doi: 10.1242/jeb.027367	http://www.ncbi.nlm.nih.gov/pubmed/19525434	expression in comparison to non-diapause-destined embryos	Dunja		
7/8/2015 18:34:28	Antheraea pernyi---diapause hormone-phermone biosynthesis activating neuropeptide	diapause	pupae	hemolymph	down		ELISA	doi: 10.1111/j.1439-0418.2007.01249.x	http://onlinelibrary.wiley.com/doi/10.1111/j.1439-0418.2007.01249.x/full	expression in comparison to non-diapause-destined pupae	Dunja		
3/21/2016 16:21:35	Antheraea pernyi---diapause hormone-phermone biosynthesis activating neuropeptide	diapause	pupae	mandibular, maxillary and labial suboesophageal ganglion	detected		Immunocytochemistry	doi: 10.1111/j.1439-0418.2007.01249.x	http://onlinelibrary.wiley.com/doi/10.1111/j.1439-0418.2007.01249.x/full		Dunja		
3/21/2016 16:24:42	Antheraea pernyi---diapause hormone-phermone biosynthesis activating neuropeptide	diapause	pupae	thoracic ganglion	detected		Immunocytochemistry	doi: 10.1111/j.1439-0418.2007.01249.x	http://onlinelibrary.wiley.com/doi/10.1111/j.1439-0418.2007.01249.x/full		Dunja		
3/21/2016 16:25:27	Antheraea pernyi---diapause hormone-phermone biosynthesis activating neuropeptide	diapause	pupae	terminal abdominal ganglion	detected		Immunocytochemistry	doi: 10.1111/j.1439-0418.2007.01249.x	http://onlinelibrary.wiley.com/doi/10.1111/j.1439-0418.2007.01249.x/full		Dunja		
7/8/2015 18:09:40	Antheraea pernyi---diapause hormone-phermone biosynthesis activating neuropeptide mRNA	diapause	pupae	brain-suboesophageal ganglion complex	down		N Blot	doi: 10.1111/j.1439-0418.2007.01249.x	http://onlinelibrary.wiley.com/doi/10.1111/j.1439-0418.2007.01249.x/full	expression in comparison to non-diapause-destined pupae	Dunja		
7/8/2015 18:10:36	Antheraea pernyi---diapause hormone-phermone biosynthesis activating neuropeptide mRNA	diapause	pupae	brain-suboesophageal ganglion complex	down		QRT-PCR	doi: 10.1111/j.1439-0418.2007.01249.x	http://onlinelibrary.wiley.com/doi/10.1111/j.1439-0418.2007.01249.x/full	expression in comparison to non-diapause-destined pupae	Dunja		
7/8/2015 18:20:21	Antheraea pernyi---diapause hormone-phermone biosynthesis activating neuropeptide mRNA	diapause	pupae	brain-suboesophageal ganglion complex	down		S Blot	doi: 10.1111/j.1439-0418.2007.01249.x	http://onlinelibrary.wiley.com/doi/10.1111/j.1439-0418.2007.01249.x/full	expression in comparison to non-diapause-destined pupae	Dunja		
8/20/2015 15:25:55	Antheraea yamamai---mRNA for cytochrome P450 CYP4G25	diapause	larva	thorax	up		N Blot	doi:10.1016/j.jinsphys.2008.01.001	http://www.ncbi.nlm.nih.gov/pubmed/18308331	The diapause of pharate first instar larvae was terminated with the imidazole compound KK-42. Expression in comparison to pre-diapausing eggs. 	Dunja		
8/20/2015 15:27:18	Antheraea yamamai---mRNA for cytochrome P450 CYP4G25	diapause	larva	head	up		N Blot	doi:10.1016/j.jinsphys.2008.01.001	http://www.ncbi.nlm.nih.gov/pubmed/18308331	The diapause of pharate first instar larvae was terminated with the imidazole compound KK-42. Expression in comparison to pre-diapausing eggs. 	Dunja		
